gmgoCd,gmgoNm,location,MG더뱅킹정기예금,MG더뱅킹정기적금,MG더뱅킹자유적금,기준일
3657,안양북부,경기 안양시,4.00,4.00,3.50,2023/07/28
3658,부천,경기 부천시,4.20,4.50,2.30,2023/07/28
3659,안양남부,경기 안양시,4.20,4.50,3.90,2023/07/28
3703,광남,경기 광명시,3.70,3.50,3.50,2023/07/28
3704,광명제일,경기 광명시,4.20,4.00,4.00,2023/07/28
3708,기아,경기 광명시,3.90,3.90,3.60,2023/07/28
3711,한국마사회,경기 과천시,,,,2023/07/28
3714,시흥중앙,경기 시흥시,3.70,,,2023/07/28
3717,금정,경기 군포시,4.00,3.80,3.10,2023/07/28
3718,군포,경기 군포시,4.50,3.80,3.73,2023/07/28
3719,산본,경기 군포시,4.10,3.90,3.40,2023/07/28
3727,의왕,경기 의왕시,3.15,3.00,,2023/07/28
3733,과천,경기 과천시,4.50,4.00,3.70,2023/07/28
3734,김포,경기 김포시,4.00,4.50,4.00,2023/07/28
3735,광명동부,경기 광명시,4.70,3.80,3.20,2023/07/28
3736,시흥제일,경기 안산시,,,,2023/07/28
3737,광명,경기 광명시,4.10,4.00,2.50,2023/07/28
3807,세화,경기 수원시,3.10,3.50,2.90,2023/07/28
3808,수원서부,경기 수원시,3.70,4.00,3.40,2023/07/28
3809,서호,경기 수원시,3.60,3.40,3.40,2023/07/28
3815,팔달,경기 수원시,4.10,4.10,4.10,2023/07/28
3818,곡선,경기 수원시,3.50,3.40,2.00,2023/07/28
3822,SK케미칼,울산 남구,,,,2023/07/28
3823,SKC,경기 수원시,,,,2023/07/28
3826,삼성전기,경기 수원시,,,,2023/07/28
3827,삼성전자,경기 수원시,,,,2023/07/28
3829,삼성에스디아이,경기 용인시,,,,2023/07/28
3833,평택,경기 평택시,4.10,4.50,4.10,2023/07/28
3834,서평택,경기 평택시,4.03,5.00,4.00,2023/07/28
3838,엘지전자평택,경기 평택시,,,,2023/07/28
3841,케이지모빌리티,경기 평택시,1.40,1.40,1.00,2023/07/28
3843,송탄,경기 평택시,3.80,4.50,3.80,2023/07/28
3844,서수원,경기 수원시,3.60,4.50,3.00,2023/07/28
3845,수원,경기 수원시,3.60,3.80,3.20,2023/07/28
3846,동수원,경기 수원시,4.10,4.50,3.50,2023/07/28
3847,수원중앙,경기 수원시,3.80,3.80,3.10,2023/07/28
3848,서용인,경기 용인시,3.80,3.80,3.60,2023/07/28
3849,우리용인,경기 용인시,3.70,3.50,,2023/07/28
3850,용인제일,경기 용인시,3.40,3.80,,2023/07/28
3902,안산동부,경기 안산시,4.00,4.00,2.50,2023/07/28
3903,군자,경기 안산시,3.20,3.30,3.00,2023/07/28
3904,신반월,경기 안산시,4.00,3.50,3.30,2023/07/28
3917,화성,경기 화성시,3.70,4.50,3.70,2023/07/28
3920,경기서부,경기 화성시,3.00,3.00,4.50,2023/07/28
3921,경기화성,경기 화성시,4.50,4.50,4.00,2023/07/28
3922,화산,경기 화성시,3.80,4.50,3.80,2023/07/28
3942,안성,경기 안성시,4.20,4.50,4.00,2023/07/28
3948,안성장학,경기 안성시,4.20,4.50,3.60,2023/07/28
3949,안산중앙,경기 안산시,3.90,3.90,3.36,2023/07/28
3950,안산서부,경기 안산시,3.50,3.40,2.40,2023/07/28
3951,용인중앙,경기 용인시,4.30,4.10,3.00,2023/07/28
3952,화성제일,경기 화성시,3.80,4.30,4.00,2023/07/28
3953,오산,경기 오산시,3.50,3.70,2.00,2023/07/28
4007,호원,경기 의정부,3.85,4.00,3.00,2023/07/28
4009,의정부신곡,경기 의정부,3.80,4.30,3.30,2023/07/28
4014,의정부동부,경기 의정부,3.95,4.10,3.50,2023/07/28
4023,보산,경기 동두천,4.30,4.50,4.20,2023/07/28
4029,고양누리,경기 고양시,4.50,4.10,3.60,2023/07/28
4030,고양동부,경기 고양시,4.50,3.50,3.10,2023/07/28
4032,일산,경기 고양시,4.50,4.00,3.50,2023/07/28
4039,동두천중앙,경기 동두천,4.30,4.50,4.30,2023/07/28
4040,의정부중앙,경기 의정부,3.95,3.90,3.00,2023/07/28
4042,의정부서부,경기 의정부,3.90,4.20,3.80,2023/07/28
4104,다산,경기 남양주시,3.90,4.00,3.70,2023/07/28
4106,별내,경기 남양주시,4.30,4.50,4.30,2023/07/28
4107,화도,경기 남양주시,4.30,4.20,3.80,2023/07/28
4108,중부,경기 남양주시,3.90,4.20,3.30,2023/07/28
4109,진접,경기 남양주시,,,,2023/07/28
4110,남양주중앙,경기 남양주시,4.20,4.50,4.00,2023/07/28
4116,양주중앙,경기 양주시,4.50,4.00,3.60,2023/07/28
4124,우리,경기 파주시,4.00,3.70,3.10,2023/07/28
4126,전곡,경기 연천군,4.20,4.90,4.00,2023/07/28
4136,가평군,경기 가평군,3.80,3.00,3.00,2023/07/28
4140,포천,경기 포천시,3.80,3.80,3.60,2023/07/28
4141,파주중앙,경기 파주시,4.10,4.10,3.60,2023/07/28
4144,구리,경기 구리시,5.00,4.40,4.10,2023/07/28
4145,파주,경기 파주시,4.45,5.01,4.83,2023/07/28
4146,양주,경기 양주시,5.10,4.30,4.00,2023/07/28
4202,새강릉,강원 강릉시,3.70,3.80,3.70,2023/07/28
4206,강릉솔향,강원 강릉시,3.80,4.10,3.60,2023/07/28
4207,포남,강원 강릉시,3.80,4.00,3.80,2023/07/28
4208,초당경포,강원 강릉시,3.80,4.00,4.00,2023/07/28
4222,송정,강원 강릉시,3.80,3.80,3.80,2023/07/28
4230,동해남부,강원 동해시,3.60,4.00,3.40,2023/07/28
4232,동해중앙,강원 동해시,3.80,4.00,3.30,2023/07/28
4237,동해항운노동조합직장,강원 동해시,,,,2023/07/28
4239,동해해오름,강원 동해시,3.60,2.50,2.50,2023/07/28
4242,속초북부,강원 속초시,5.20,4.30,4.30,2023/07/28
4247,설악,강원 속초시,,,,2023/07/28
4248,금강,강원 속초시,,,,2023/07/28
4249,동명,강원 속초시,4.00,4.30,,2023/07/28
4250,삼척중앙,강원 삼척시,,,,2023/07/28
4251,늘푸른,강원 삼척시,,,,2023/07/28
4253,삼척도원,강원 삼척시,,,,2023/07/28
4258,고성,강원 고성군,1.50,1.90,1.10,2023/07/28
4259,양양,강원 양양군,4.10,4.20,4.00,2023/07/28
4262,강릉아산병원,강원 강릉시,,,,2023/07/28
4263,주문진,강원 강릉시,3.70,4.00,3.70,2023/07/28
4264,명주,강원 강릉시,3.80,3.50,3.50,2023/07/28
4265,중부,강원 강릉시,3.80,4.00,3.70,2023/07/28
4266,강릉남부,강원 강릉시,3.81,3.80,3.50,2023/07/28
4267,속초남부,강원 속초시,4.00,4.30,,2023/07/28
4268,동해우리,강원 동해시,,,,2023/07/28
4269,속초중앙,강원 속초시,4.00,4.30,4.30,2023/07/28
4301,원주중앙,강원 원주시,3.30,3.50,3.00,2023/07/28
4302,신원주,강원 원주시,4.40,4.60,4.40,2023/07/28
4303,동원주,강원 원주시,3.40,4.00,3.00,2023/07/28
4306,단구,강원 원주시,4.00,4.00,3.50,2023/07/28
4309,꿈드림,강원 원주시,4.20,4.70,4.20,2023/07/28
4313,원주우리,강원 원주시,4.10,4.50,3.73,2023/07/28
4315,북원주,강원 원주시,4.10,4.10,3.90,2023/07/28
4318,치악,강원 원주시,,,,2023/07/28
4321,문막,강원 원주시,3.80,5.00,3.60,2023/07/28
4325,한국인삼공사원주공장,강원 원주시,,,,2023/07/28
4331,화광,강원 태백시,,,,2023/07/28
4336,횡성,강원 횡성군,4.40,,,2023/07/28
4337,횡성중앙,강원 횡성군,4.41,1.60,1.10,2023/07/28
4339,영월,강원 영월군,,,,2023/07/28
4340,평창,강원 평창군,,,,2023/07/28
4344,태백,강원 태백시,,,,2023/07/28
4420,북춘천,강원 춘천시,3.80,3.80,2.80,2023/07/28
4441,서석,강원 홍천군,3.90,3.90,3.90,2023/07/28
4445,철원,강원 철원군,,,,2023/07/28
4449,다창,강원 화천군,4.10,4.60,4.60,2023/07/28
4452,양구,강원 양구군,4.20,4.50,,2023/07/28
4453,인제,강원 인제군,3.90,4.30,3.90,2023/07/28
4454,하늘내린,강원 인제군,3.90,4.00,3.90,2023/07/28
4457,춘천남부,강원 춘천시,3.90,4.50,3.50,2023/07/28
4458,춘천중부,강원 춘천시,3.90,4.00,3.90,2023/07/28
4459,춘천동남,강원 춘천시,4.00,4.30,3.70,2023/07/28
4460,춘천동부,강원 춘천시,3.60,3.50,2.30,2023/07/28
4461,홍천,강원 홍천군,3.80,3.80,3.80,2023/07/28
4463,화천,강원 화천군,,,,2023/07/28
4464,소양강,강원 춘천시,3.80,4.00,3.30,2023/07/28
4504,서원,충북 청주시,4.20,4.00,3.90,2023/07/28
4507,내율사,충북 청주시,4.20,4.10,4.10,2023/07/28
4508,우리,충북 청주시,3.70,4.00,4.00,2023/07/28
4509,청주중앙,충북 청주시,4.20,4.10,4.10,2023/07/28
4510,우암,충북 청주시,4.20,4.20,4.20,2023/07/28
4511,미래,충북 청주시,3.90,3.90,3.90,2023/07/28
4512,제일,충북 청주시,4.40,4.20,4.20,2023/07/28
4513,조은,충북 청주시,,,,2023/07/28
4514,영운.용암,충북 청주시,4.40,4.40,4.40,2023/07/28
4515,금천,충북 청주시,4.00,4.20,4.20,2023/07/28
4517,새청주,충북 청주시,4.20,4.20,4.20,2023/07/28
4518,서청주,충북 청주시,4.10,4.10,4.10,2023/07/28
4520,흥덕,충북 청주시,4.00,4.10,4.00,2023/07/28
4521,남부,충북 청주시,,,,2023/07/28
4524,모충,충북 청주시,,,,2023/07/28
4525,충북도청,충북 청주시,,,,2023/07/28
4533,조광피혁,충북 청주시,,,,2023/07/28
4543,새빛,충북 청주시,4.40,4.40,4.40,2023/07/28
